         7399 function calls (7117 primitive calls) in 5.919 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
     10/6    0.000    0.000    0.000    0.000 typing.py:1232(__hash__)
        1    0.000    0.000    0.000    0.000 _models.py:354(_construct_field)
        2    0.000    0.000    0.000    0.000 _connection.py:72(_keep_alive)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1161(return_ok_domain)
        1    0.000    0.000    0.000    0.000 main.py:247(model_copy)
        3    0.000    0.000    0.000    0.000 _models.py:287(origin)
        4    0.000    0.000    0.000    0.000 typing.py:111(get_origin)
        1    0.000    0.000    0.000    0.000 http11.py:245(_response_closed)
        5    0.000    0.000    0.000    0.000 _utils.py:297(strip_not_given)
        5    0.000    0.000    0.000    0.000 enum.py:1538(__and__)
        3    0.000    0.000    0.000    0.000 threading.py:1199(is_alive)
       46    0.000    0.000    0.000    0.000 _utils.py:47(normalize_header_value)
        1    0.000    0.000    0.000    0.000 traitlets.py:1542(notify_change)
        1    0.000    0.000    0.000    0.000 connection_pool.py:127(create_connection)
        1    0.000    0.000    0.000    0.000 asyncio.py:215(add_callback)
       23    0.000    0.000    0.000    0.000 _urlparse.py:161(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base_client.py:555(_should_stream_response_body)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.000    0.000 events.py:32(__init__)
       21    0.000    0.000    0.000    0.000 _readers.py:43(_obsolete_line_fold)
       39    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 cookiejar.py:1297(_cookie_attrs)
        3    0.000    0.000    0.000    0.000 _models.py:254(__delitem__)
        1    0.000    0.000    0.000    0.000 inspect.py:1820(getattr_static)
        1    0.000    0.000    0.000    0.000 main.py:688(__copy__)
       28    0.000    0.000    0.000    0.000 enum.py:1112(__new__)
        6    0.000    0.000    0.000    0.000 _transform.py:126(_maybe_transform_key)
        3    0.000    0.000    0.000    0.000 _models.py:230(__setitem__)
       17    0.000    0.000    0.000    0.000 <frozen _collections_abc>:1022(__iter__)
        2    0.000    0.000    0.000    0.000 _multipart.py:155(render_headers)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1734(clear_expired_cookies)
        1    0.000    0.000    0.000    0.000 base_events.py:744(call_at)
        2    0.000    0.000    0.000    0.000 _multipart.py:59(render_headers)
        2    0.000    0.000    0.000    0.000 typing.py:144(_generic_get_args)
       29    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typing_extensions.py:600(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 _client.py:436(_build_request_auth)
        1    0.000    0.000    0.000    0.000 cookiejar.py:677(escape_path)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 socket.py:516(family)
        2    0.000    0.000    0.000    0.000 _urlparse.py:138(__str__)
        1    0.000    0.000    0.000    0.000 traitlets.py:1546(_notify_observers)
        1    0.000    0.000    0.000    0.000 connection_pool.py:21(assign_to_connection)
        1    0.000    0.000    0.000    0.000 _models.py:1189(add_unredirected_header)
        1    0.000    0.000    0.000    0.000 pathlib.py:1158(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
        1    0.000    0.000    0.000    0.000 _writers.py:22(write_headers)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
    23/11    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 threading.py:403(notify_all)
        2    0.000    0.000    0.000    0.000 _urlparse.py:286(encode_host)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _synchronization.py:283(set)
        4    0.000    0.000    0.000    0.000 threading.py:278(__enter__)
        8    0.000    0.000    0.000    0.000 _models.py:121(raw)
        3    0.000    0.000    0.000    0.000 parse.py:1073(_splittype)
       26    0.000    0.000    0.000    0.000 typing.py:1226(__eq__)
        3    0.000    0.000    0.000    0.000 threading.py:110(RLock)
        8    0.000    0.000    0.000    0.000 _typing.py:25(is_union_type)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1343(_find_and_load)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _decoders.py:73(__init__)
        1    0.000    0.000    0.000    0.000 {method '_set_alpn_protocols' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x000001FC7F8B4900}
        1    0.000    0.000    0.000    0.000 _models.py:178(get_list)
